drug_name,synonyms,description,drug_class,side_effects_list,age_group_effects,conditions_risk_map
Aspirin,acetylsalicylic acid|ASA,Pain relief and anti-inflammatory medication,NSAID,stomach pain:common:mild|nausea:common:mild|bleeding:uncommon:severe|tinnitus:uncommon:mild|dizziness:common:mild|heartburn:common:mild,elderly:bleeding=1.8|dizziness=1.5,heart disease:bleeding=1.6|liver disease:bleeding=1.5
Ibuprofen,Advil|Motrin,Anti-inflammatory pain reliever,NSAID,stomach pain:common:mild|nausea:common:mild|headache:uncommon:mild|dizziness:common:mild|kidney problems:rare:severe,elderly:kidney problems=1.7|dizziness=1.4,kidney disease:kidney problems=2.0|heart disease:heart palpitations=1.3
Paracetamol,Acetaminophen|Tylenol,Pain and fever reducer,Analgesic,nausea:uncommon:mild|liver toxicity:rare:severe|headache:uncommon:mild|rash:rare:mild,elderly:liver toxicity=1.3,liver disease:liver toxicity=2.5
Metformin,Glucophage,Diabetes medication for blood sugar control,Antidiabetic,diarrhea:common:mild|nausea:common:mild|stomach pain:common:mild|weight gain:uncommon:mild,elderly:diarrhea=1.2,kidney disease:kidney problems=1.8|liver disease:liver toxicity=1.5
Lisinopril,Zestril|Prinivil,Blood pressure medication,ACE Inhibitor,dry cough:common:mild|dizziness:common:mild|headache:uncommon:mild|low blood pressure:uncommon:moderate|kidney problems:rare:severe,elderly:dizziness=1.6|low blood pressure=1.4,kidney disease:kidney problems=1.8
Atorvastatin,Lipitor,Cholesterol lowering medication,Statin,muscle pain:common:mild|headache:uncommon:mild|nausea:uncommon:mild|liver toxicity:rare:severe|joint pain:uncommon:mild,elderly:muscle pain=1.4,liver disease:liver toxicity=2.0
Omeprazole,Prilosec,Stomach acid reducer,PPI,headache:common:mild|diarrhea:uncommon:mild|nausea:uncommon:mild|stomach pain:uncommon:mild,elderly:confusion=1.3,
Amlodipine,Norvasc,Blood pressure medication,Calcium Channel Blocker,ankle swelling:common:mild|dizziness:common:mild|flushing:common:mild|headache:common:mild|fatigue:uncommon:mild,elderly:dizziness=1.5|ankle swelling=1.3,heart disease:low blood pressure=1.4
Metoprolol,Lopressor|Toprol,Heart and blood pressure medication,Beta Blocker,fatigue:common:mild|dizziness:common:mild|low blood pressure:uncommon:moderate|insomnia:uncommon:mild|weight gain:uncommon:mild,elderly:fatigue=1.4|dizziness=1.5,asthma:breathing difficulty=2.0|heart disease:low blood pressure=1.3
Sertraline,Zoloft,Antidepressant medication,SSRI,nausea:common:mild|headache:common:mild|insomnia:common:mild|diarrhea:uncommon:mild|anxiety:uncommon:mild|drowsiness:common:mild|weight gain:uncommon:mild,pediatric:anxiety=1.5|behavioral changes=1.4,depression:anxiety=1.3
Gabapentin,Neurontin,Nerve pain and seizure medication,Anticonvulsant,drowsiness:common:moderate|dizziness:common:mild|fatigue:common:mild|weight gain:uncommon:mild|confusion:uncommon:mild,elderly:drowsiness=1.6|confusion=1.5|dizziness=1.4,
Losartan,Cozaar,Blood pressure medication,ARB,dizziness:common:mild|fatigue:uncommon:mild|low blood pressure:uncommon:moderate|kidney problems:rare:severe,elderly:dizziness=1.4|low blood pressure=1.3,kidney disease:kidney problems=1.6
Hydrochlorothiazide,HCTZ|Microzide,Water pill for blood pressure,Diuretic,dizziness:common:mild|low blood pressure:uncommon:moderate|muscle cramps:uncommon:mild|weakness:uncommon:mild,elderly:dizziness=1.5|low blood pressure=1.4,diabetes:hypoglycemia=1.3
Levothyroxine,Synthroid,Thyroid hormone replacement,Thyroid Hormone,heart palpitations:uncommon:moderate|anxiety:uncommon:mild|insomnia:uncommon:mild|tremor:uncommon:mild|weight loss:uncommon:mild,elderly:heart palpitations=1.5,heart disease:heart palpitations=1.8
Prednisone,Deltasone,Corticosteroid anti-inflammatory,Corticosteroid,weight gain:common:mild|insomnia:common:mild|mood changes:common:moderate|high blood sugar:uncommon:moderate|stomach pain:common:mild,pediatric:growth issues=1.5,diabetes:high blood sugar=2.0|hypertension:high blood pressure=1.5
Tramadol,Ultram,Pain medication,Opioid Analgesic,nausea:common:mild|constipation:common:mild|drowsiness:common:moderate|dizziness:common:mild|headache:uncommon:mild,elderly:drowsiness=1.7|confusion=1.5|dizziness=1.4,
Amoxicillin,Amoxil,Antibiotic for bacterial infections,Antibiotic,diarrhea:common:mild|nausea:common:mild|rash:uncommon:mild|stomach pain:uncommon:mild,pediatric:diarrhea=1.2,
Ciprofloxacin,Cipro,Antibiotic for bacterial infections,Fluoroquinolone,nausea:common:mild|diarrhea:common:mild|dizziness:uncommon:mild|joint pain:uncommon:moderate|insomnia:uncommon:mild,elderly:joint pain=1.6|confusion=1.4,
Fluoxetine,Prozac,Antidepressant medication,SSRI,nausea:common:mild|headache:common:mild|insomnia:common:mild|anxiety:uncommon:mild|drowsiness:common:mild|weight changes:uncommon:mild,pediatric:anxiety=1.6|behavioral changes=1.5,
Warfarin,Coumadin,Blood thinner medication,Anticoagulant,bleeding:common:severe|bruising:common:mild|nausea:uncommon:mild|rash:rare:mild,elderly:bleeding=1.9|bruising=1.5,liver disease:bleeding=1.8|heart disease:bleeding=1.4
